date,backtest_return,index_return,hedge_return,position_ratio,cash,total_value,net_value
2009-01-05,0,0,0.0,0.0,100000000.0,100000000.0,100000000.0
2009-01-06,0,0,0.2586953599999966,0.3088,69977461.05,101237401.05,101237401.05
2009-01-07,0,0,0.7676337131568494,0.656,34957475.4,101624565.4,101624565.4
2009-01-08,0,0,0.24565551175161748,0.6907,31025753.75,100295924.75,100295924.75
2009-01-09,0,0,1.454837492163513,0.6574,35226928.96,102815589.96,102815589.96
2009-01-12,0,0,1.4187863811126242,0.6527,36242764.98,104363679.98,104363679.98
2009-01-13,0,0,-0.6956059287849752,0.7006,30519410.53,101937651.53,101937651.53
2009-01-14,0,0,0.4249253281420535,0.6511,36690179.89,105168196.89,105168196.89
2009-01-15,0,0,0.9916725295645133,0.6511,37048261.92,106201071.92,106201071.92
2009-01-16,0,0,-0.6824102485875647,0.69,33112939.92,106801472.92,106801472.92
2009-01-19,0,0,-1.0598656516853964,0.6465,37631074.96,106441663.96,106441663.96
2009-01-20,0,0,0.6908821015971369,0.6755,34924119.47,107625287.47,107625287.47
2009-01-21,0,0,0.2764905273622616,0.69,33418162.93,107804111.93,107804111.93
2009-01-22,0,0,0.18182657124303236,0.6355,39647879.67,108768421.67,108768421.67
2009-01-23,0,0,0.12487156646135394,0.6744,35321068.17,108480650.17,108480650.17
2009-02-02,0,0,1.9830326510914333,0.6908,34489472.35,111529368.35,111529368.35
2009-02-03,0,0,1.199198272235291,0.6448,40733829.14,114675265.14,114675265.14
2009-02-04,0,0,-0.0717041773945013,0.6531,40465888.04,116641427.04,116641427.04
2009-02-05,0,0,-1.1472928831824312,0.7118,33057146.62,114709594.62,114709594.62
2009-02-06,0,0,1.7841845674745072,0.6525,41614402.35,119762783.35,119762783.35
2009-02-09,0,0,0.43358116363393195,0.6356,44562182.09,122301356.09,122301356.09
2009-02-10,0,0,1.4047599012101353,0.7066,36718765.07,125149674.07,125149674.07
2009-02-11,0,0,0.21858429476627858,0.6635,42255068.6,125581058.6,125581058.6
2009-02-12,0,0,1.4016503302532117,0.6386,45853573.72,126895121.72,126895121.72
2009-02-13,0,0,1.1955242340110428,0.6864,41221571.33,131452720.33,131452720.33
2009-02-16,0,0,0.006601070426020872,0.6619,45225670.29,133746001.29,133746001.29
2009-02-17,0,0,-1.7820003794392412,0.614,49722176.75,128804213.75,128804213.75
2009-02-18,0,0,0.3013923397515539,0.7222,34704412.99,124916035.99,124916035.99
2009-02-19,0,0,1.3427367262824117,0.6802,40758813.8,127441805.8,127441805.8
2009-02-20,0,0,2.000755511575649,0.5933,53476359.31,131495369.31,131495369.31
2009-02-23,0,0,1.222189034448669,0.7229,37630659.15,135793379.15,135793379.15
2009-02-24,0,0,-0.1646788988894481,0.7086,38238801.53,131230587.53,131230587.53
2009-02-25,0,0,0.16035053501790214,0.5808,55127851.43,131516646.43,131516646.43
2009-02-26,0,0,-3.431044985644772,0.7845,26270333.56,121895758.56,121895758.56
2009-02-27,0,0,-3.7284586678424825,0.7249,31726324.73,115346133.73,115346133.73
2009-03-02,0,0,1.429549665127872,0.5227,56169503.53,117675877.53,117675877.53
2009-03-03,0,0,2.7846976152277185,0.7738,27152369.74,120011835.74,120011835.74
2009-03-04,0,0,1.2843444563969628,0.7126,36576264.96,127262346.96,127262346.96
2009-03-05,0,0,0.5302913839509759,0.5042,63703569.07,128490361.07,128490361.07
2009-03-06,0,0,0.8444007315884519,0.7579,31187066.66,128798337.66,128798337.66
2009-03-09,0,0,-0.6288979561490642,0.7287,33787093.82,124537913.82,124537913.82
2009-03-10,0,0,1.4279322206327163,0.5324,59604489.73,127465058.73,127465058.73
2009-03-11,0,0,-0.7436519133913886,0.76,30159538.37,125644730.37,125644730.37
2009-03-12,0,0,0.3768905221139809,0.7307,33914715.83,125922107.83,125922107.83
2009-03-13,0,0,-1.0489304110673379,0.5293,58499803.25,124294998.25,124294998.25
2009-03-16,0,0,0.27593871940622905,0.7585,30473068.72,126176570.72,126176570.72
2009-03-17,0,0,0.3906577506387774,0.7338,34605442.07,130007783.07,130007783.07
2009-03-18,0,0,0.6935871486431742,0.5373,60713573.84,131216581.84,131216581.84
2009-03-19,0,0,-0.1024593248102299,0.7424,34306121.21,133173050.21,133173050.21
2009-03-20,0,0,-0.501805103942329,0.7335,35285254.53,132393469.53,132393469.53
2009-03-23,0,0,0.32987473679581747,0.5654,58544740.11,134703534.11,134703534.11
2009-03-24,0,0,-0.021059546221222303,0.7286,36680463.83,135165683.83,135165683.83
2009-03-25,0,0,-0.05133217141378865,0.73,35929305.89,133067772.89,133067772.89
2009-03-26,0,0,-0.10492630498083133,0.5841,56345151.19,135468635.2,135468635.2
2009-03-27,0,0,0.024019113926324387,0.7148,38854623.0,136249084.0,136249084.0
2009-03-30,0,0,1.0231390623853198,0.7289,37161792.34,137071045.34,137071045.34
2009-03-31,0,0,0.8281025604800444,0.595,56281562.03,138971259.03,138971259.03
2009-04-01,0,0,0.016030215283863614,0.722,39094751.02,140605642.02,140605642.02
2009-04-02,0,0,-0.5046240915781154,0.7136,40379686.51,141008734.51,141008734.51
2009-04-03,0,0,-0.7547944686773921,0.6062,55030027.71,139745229.71,139745229.71
